week_id,seed,reward_expert_v4,reward_ppo_v7,diff_ppo_minus_expert
1,50000,12833.799999998508,15761.47999999747,2927.6799999989616
2,50001,13077.219999998346,15123.319999997546,2046.0999999992
3,50002,13094.099999998749,15965.799999997354,2871.6999999986056
4,50003,13790.939999998704,16358.519999997312,2567.5799999986084
5,50004,13382.119999998422,15755.01999999737,2372.8999999989483
6,50005,13285.959999998631,16007.519999997387,2721.5599999987553
7,50006,13514.679999998654,15862.439999997392,2347.759999998738
8,50007,12983.999999998514,15621.419999997497,2637.4199999989833
9,50008,13459.419999998423,15803.739999997322,2344.319999998899
10,50009,13932.839999998148,16821.499999997235,2888.6599999990867
11,50010,13355.459999998615,15614.559999997495,2259.09999999888
12,50011,12935.039999998757,16228.059999997224,3293.019999998467
13,50012,12925.759999998532,15027.779999997492,2102.01999999896
14,50013,13022.77999999856,15236.879999997507,2214.099999998947
15,50014,13771.05999999808,16089.119999997425,2318.0599999993447
16,50015,13862.579999998517,15474.779999997496,1612.1999999989785
17,50016,13615.659999998417,15754.499999997364,2138.839999998947
18,50017,12663.899999998554,15991.839999997334,3327.93999999878
19,50018,13438.77999999817,15856.979999997233,2418.199999999062
20,50019,13435.899999998554,15247.319999997391,1811.4199999988377
21,50020,11831.61999999883,15299.2799999975,3467.65999999867
22,50021,13758.619999998476,16176.779999997334,2418.1599999988575
23,50022,13491.179999998107,15606.719999997233,2115.539999999126
24,50023,13606.319999998452,15741.539999997403,2135.2199999989516
25,50024,12643.299999998537,15917.779999997429,3274.479999998892
26,50025,12546.419999998516,15839.379999997436,3292.9599999989205
27,50026,13052.259999998492,15545.459999997307,2493.1999999988147
28,50027,13545.13999999847,15812.939999997372,2267.7999999989024
29,50028,13170.27999999841,15835.83999999742,2665.55999999901
30,50029,14092.999999998432,15326.579999997604,1233.5799999991723
31,50030,12915.959999998388,15751.379999997373,2835.419999998985
32,50031,12729.25999999864,15649.71999999744,2920.4599999988004
33,50032,14155.499999997874,15705.819999997466,1550.3199999995923
34,50033,12901.719999998531,16533.5599999972,3631.8399999986686
35,50034,14146.079999998305,15237.599999997532,1091.5199999992274
36,50035,13413.239999998432,15442.21999999743,2028.9799999989973
37,50036,13200.999999998676,15963.479999997271,2762.4799999985953
38,50037,14186.059999998079,15810.499999997373,1624.4399999992947
39,50038,12450.15999999858,16084.479999997387,3634.3199999988083
40,50039,14536.539999998038,15544.199999997494,1007.659999999456
41,50040,12866.29999999867,16086.93999999731,3220.6399999986406
42,50041,13346.719999998624,15659.719999997544,2312.9999999989195
43,50042,13423.159999998466,16057.099999997346,2633.93999999888
44,50043,13359.93999999862,16052.739999997382,2692.7999999987624
45,50044,12574.379999998606,16061.759999997312,3487.379999998706
46,50045,13279.159999998405,15501.579999997251,2222.419999998847
47,50046,12723.759999998654,15882.499999997342,3158.7399999986883
48,50047,13558.319999998417,16121.079999997346,2562.759999998929
